code,name,faculty,duration,type,branch,section,year,credits,semesterHalf,basket,isElective,sharedWith
NEW,Introduction to RFIC Design,Dr. Sibasankar Padhy,2,Lecture,DSAI,ALL,2,2,1,1,TRUE,"ECE,CSE"
NEW,Electronic System Engineering,Mr. Mallikarjun Kande,2,Lecture,DSAI,ALL,2,2,2,2,TRUE,"ECE,CSE"
New,Introduction to Embedded Signal Intelligence,Dr. Sibasankar Padhy,2,Lecture,DSAI,ALL,2,2,1,1,TRUE,"ECE,CSE"
MA261,Differential Equations,Dr. Anand Barangi,1,Lecture,ECE,ALL,2,3,2,0,FALSE,DSAI
MA262,Multivariate Calculus,Dr. Somen Bhattacharjee,1,Lecture,ECE,ALL,2,3,1,0,FALSE,DSAI
MA263,Random Process,Dr. Chinmayananda,1,Lecture,ECE,ALL,2,4,1,0,FALSE,
EC261,Signals & Systems,Dr. Somen Bhattacharjee,1,Lecture,ECE,ALL,2,4,2,0,FALSE,
EC262,Semiconductor Devices,Dr. Pankaj Kumar,1,Lecture,ECE,ALL,2,3,1,0,FALSE,
EC465,Analog Electronic Circuits,Dr. Rajesh Kumar,2,Lab,ECE,ALL,2,1,2,0,FALSE,DSAI
CS307,Machine Learning,Dr. Deepak KT,2,Lab,ECE,ALL,2,1,2,0,FALSE,
NEW,Electronics System Design-I,Dr. Pankaj Kumar,2,Lecture,ECE,ALL,2,2,1,1,TRUE,"DSAI,CSE"
CS162,Data Science with Python,Dr. Abdul Wahid,2,Lecture,ECE,ALL,2,2,1,1,TRUE,"DSAI,CSE"
NEW,2D Computer Graphics,Dr. Vivekraj V K,2,Lecture,ECE,ALL,2,2,1,1,TRUE,"DSAI,CSE"
NEW,Introduction to RFIC Design,Dr. Sibasankar Padhy,2,Lecture,ECE,ALL,2,2,1,1,TRUE,"DSAI,CSE"
NEW,Electronic System Engineering,Mr. Mallikarjun Kande,2,Lecture,ECE,ALL,2,2,2,2,TRUE,"DSAI,CSE"
New,Introduction to Embedded Signal Intelligence,Dr. Sibasankar Padhy,2,Lecture,ECE,ALL,2,2,1,1,TRUE,"DSAI,CSE"
CS309,Statistics for Computer Science,Dr. Sunil CK,1,Lecture,CSE,A,3,4,0,0,FALSE,"ECE,DSAI"
CS303,Computer Networks,Dr. Animesh Roy,1,Lecture,CSE,A,3,5,0,0,FALSE,"ECE,DSAI"
CS304,Artificial Intelligence,Dr. Krishnendu,1,Lecture,CSE,A,3,4,0,0,FALSE,"ECE,DSAI"
HS101,Environmental Studies,Dr. Aswath Babu H,1,Lecture,CSE,A,3,2,0,0,FALSE,"ECE,DSAI"
CS463,Parallel Computing,Dr. Pramod Yelmewad,1,Lecture,CSE,A,3,4,0,1,TRUE,"ECE,DSAI"
CS308,Compiler Design,Dr. Pavan Kumar C,1,Lecture,CSE,A,3,4,0,1,TRUE,"ECE,DSAI"
DS301,Graphs and Social Network,Dr. Utkarsh Khaire,1,Lecture,CSE,A,3,4,0,1,TRUE,"ECE,DSAI"
CS366,Advanced Algorithm Design,Dr. Suvadip Hazra,1,Lecture,CSE,A,3,4,0,1,TRUE,"ECE,DSAI"
